,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,full_rating,dump,stage,favorite_count,retweet_count
41,883482846933004288,,,2017-07-08 00:28:19,iPhone,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948",,,,"https://twitter.com/dog_rates/status/883482846933004288/photo/1,https://twitter.com/dog_rates/status/883482846933004288/photo/1",13.5,10,Bella,None,None,None,None,13.5/10,13.,,45608,9916
246,835152434251116546,,,2017-02-24 15:40:31,iPhone,When you're so blinded by your systematic plagiarism that you forget what day it is. 0/10 https://t.co/YbEJPkg4Ag,,,,"https://twitter.com/dog_rates/status/835152434251116546/photo/1,https://twitter.com/dog_rates/status/835152434251116546/photo/1,https://twitter.com/dog_rates/status/835152434251116546/photo/1",0,10,None,None,None,None,None,0/10,,,23871,3301
339,820690176645140481,,,2017-01-15 17:52:40,iPhone,The floofs have been released I repeat the floofs have been released. 84/70 https://t.co/NIYC820tmd,,,,"https://twitter.com/dog_rates/status/820690176645140481/photo/1,https://twitter.com/dog_rates/status/820690176645140481/photo/1,https://twitter.com/dog_rates/status/820690176645140481/photo/1",84,70,None,None,None,None,None,84/70,,,13121,3567
527,786709082849828864,,,2016-10-13 23:23:56,iPhone,"This is Logan, the Chow who lived. He solemnly swears he's up to lots of good. H*ckin magical af 9.75/10 https://t.co/yBO5wuqaPS",,,,https://twitter.com/dog_rates/status/786709082849828864/photo/1,9.75,10,Logan,None,None,None,None,9.75/10,9.,,19708,6789
585,778027034220126208,,,2016-09-20 00:24:34,iPhone,This is Sophie. She's a Jubilant Bush Pupper. Super h*ckin rare. Appears at random just to smile at the locals. 11.27/10 would smile back https://t.co/QFaUiIHxHq,,,,https://twitter.com/dog_rates/status/778027034220126208/photo/1,11.27,10,Sophie,None,None,pupper,None,11.27/10,11.,pupper,7089,1804
699,758467244762497024,,,2016-07-28 01:00:57,iPhone,Why does this never happen at my front door... 165/150 https://t.co/HmwrdfEfUE,,,,https://twitter.com/dog_rates/status/758467244762497024/video/1,165,150,None,None,None,None,None,165/150,16,,5150,2448
768,749981277374128128,,,2016-07-04 15:00:45,tweetdeck,This is Atticus. He's quite simply America af. 1776/10 https://t.co/GRXwMxLBkh,,,,https://twitter.com/dog_rates/status/749981277374128128/photo/1,1776,10,Atticus,None,None,None,None,1776/10,177,,5460,2682
902,731156023742988288,,,2016-05-13 16:15:54,iPhone,Say hello to this unbelievably well behaved squad of doggos. 204/170 would try to pet all at once https://t.co/yGQI3He3xv,,,,https://twitter.com/dog_rates/status/731156023742988288/photo/1,204,170,this,None,None,None,None,204/170,20,doggo,4058,1376
983,716439118184652801,,,2016-04-03 01:36:11,iPhone,This is Bluebert. He just saw that both #FinalFur match ups are split 50/50. Amazed af. 11/10 https://t.co/Kky1DPG4iq,,,,https://twitter.com/dog_rates/status/716439118184652801/photo/1,50,50,Bluebert,None,None,None,None,50/50,,,2493,232
1009,713900603437621249,,,2016-03-27 01:29:02,iPhone,Happy Saturday here's 9 puppers on a bench. 99/90 good work everybody https://t.co/mpvaVxKmc1,,,,https://twitter.com/dog_rates/status/713900603437621249/photo/1,99,90,None,None,None,None,None,99/90,,pupper,2985,806
1034,710658690886586372,,,2016-03-18 02:46:49,iPhone,Here's a brigade of puppers. All look very prepared for whatever happens next. 80/80 https://t.co/0eb7R1Om12,,,,https://twitter.com/dog_rates/status/710658690886586372/photo/1,80,80,None,None,None,None,None,80/80,,pupper,2445,610
1054,709198395643068416,,,2016-03-14 02:04:08,iPhone,"From left to right:
Cletus, Jerome, Alejandro, Burp, &amp; Titson
None know where camera is. 45/50 would hug all at once https://t.co/sedre1ivTK",,,,https://twitter.com/dog_rates/status/709198395643068416/photo/1,45,50,None,None,None,None,None,45/50,,,2554,690
1127,704054845121142784,,,2016-02-28 21:25:30,iPhone,Here is a whole flock of puppers.  60/50 I'll take the lot https://t.co/9dpcw6MdWa,,,,https://twitter.com/dog_rates/status/704054845121142784/photo/1,60,50,Stanley,None,None,None,None,60/50,,pupper,3101,998
1208,697463031882764288,,,2016-02-10 16:51:59,iPhone,Happy Wednesday here's a bucket of pups. 44/40 would pet all at once https://t.co/HppvrYuamZ,,,,https://twitter.com/dog_rates/status/697463031882764288/photo/1,44,40,None,None,None,None,None,44/40,,,3620,1496
1397,684222868335505415,,,2016-01-05 04:00:18,iPhone,Someone help the girl is being mugged. Several are distracting her while two steal her shoes. Clever puppers 121/110 https://t.co/1zfnTJLt55,,,,https://twitter.com/dog_rates/status/684222868335505415/photo/1,121,110,None,None,None,None,None,121/110,12,pupper,4086,1507
1472,680494726643068929,,,2015-12-25 21:06:00,iPhone,Here we have uncovered an entire battalion of holiday puppers. Average of 11.26/10 https://t.co/eNm2S6p9BD,,,,https://twitter.com/dog_rates/status/680494726643068929/photo/1,11.26,10,None,None,None,None,None,11.26/10,11.,pupper,1817,524
1538,677716515794329600,,,2015-12-18 05:06:23,iPhone,IT'S PUPPERGEDDON. Total of 144/120 ...I think https://t.co/ZanVtAtvIq,,,,https://twitter.com/dog_rates/status/677716515794329600/photo/1,144,120,None,None,None,None,None,144/120,14,pupper,3205,1046
1600,675853064436391936,,,2015-12-13 01:41:41,iPhone,Here we have an entire platoon of puppers. Total score: 88/80 would pet all at once https://t.co/y93p6FLvVw,,,,"https://twitter.com/dog_rates/status/675853064436391936/photo/1,https://twitter.com/dog_rates/status/675853064436391936/photo/1",88,80,None,None,None,None,None,88/80,,pupper,2816,1389
1623,675153376133427200,,,2015-12-11 03:21:23,iPhone,What kind of person sends in a picture without a dog in it? 1/10 just because that's a nice table https://t.co/RDXCfk8hK0,,,,https://twitter.com/dog_rates/status/675153376133427200/photo/1,1,10,None,None,None,None,None,1/10,,,6554,2770
1819,670842764863651840,,,2015-11-29 05:52:33,iPhone,"After so many requests... here you go.

Good dogg. 420/10 https://t.co/yfAAo1gdeY",,,,https://twitter.com/dog_rates/status/670842764863651840/photo/1,420,10,None,None,None,None,None,420/10,42,,25262,9172
1836,670783437142401025,,,2015-11-29 01:56:48,iPhone,Flamboyant pup here. Probably poisonous. Won't eat kibble. Doesn't bark. Slow af. Petting doesn't look fun. 1/10 https://t.co/jxukeh2BeO,,,,https://twitter.com/dog_rates/status/670783437142401025/photo/1,1,10,None,None,None,None,None,1/10,,,839,412
2001,667549055577362432,,,2015-11-20 03:44:31,Web Client,Never seen dog like this. Breathes heavy. Tilts head in a pattern. No bark. Shitty at fetch. Not even cordless. 1/10 https://t.co/i9iSGNn3fx,,,,https://twitter.com/dog_rates/status/667549055577362432/photo/1,1,10,None,None,None,None,None,1/10,,,5912,2361
2077,666104133288665088,,,2015-11-16 04:02:55,iPhone,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX,,,,https://twitter.com/dog_rates/status/666104133288665088/photo/1,1,10,None,None,None,None,None,1/10,,,14268,6564
